team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,934,287,right,90,18:30:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,108,305,left,1450,15:50:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,803,441,right,2269,02:11:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1002,257,right,657,09:03:00,NA
Hokies,TRUE,TRUE,fieldgoal,NA,NA,3,837,119,right,1472,15:28:00,NA
Hokies,TRUE,TRUE,fieldgoal,NA,NA,3,367,225,left,1977,07:03:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,85,287,left,1428,16:12:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,79,293,left,1831,09:29:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,242,497,left,1053,02:27:00,Quarterfinal 3
Hokies,FALSE,TRUE,fieldgoal,NA,NA,2,1011,509,right,1820,09:40:00,NA
Hokies,FALSE,FALSE,fieldgoal,jump shot,NA,NA,961,215,right,1569,13:51:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,67,352,left,323,14:37:00,NA
Hokies,TRUE,TRUE,fieldgoal,NA,NA,3,1007,561,right,1939,07:41:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,116,318,left,1985,06:55:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,126,34,left,2364,00:36:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1028,335,right,2382,00:18:00,Quarterfinal 4
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,87,283,left,1568,13:52:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,82,255,left,1002,03:18:00,Quarterfinal 4
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,772,401,right,1709,11:31:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,98,270,left,548,10:52:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,driving,2,1038,327,right,559,10:41:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,82,334,left,2382,00:18:00,NA
Hokies,FALSE,TRUE,fieldgoal,dunk,driving,2,85,300,left,1755,10:45:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,78,294,left,1435,16:05:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,1002,297,right,1372,17:08:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,102,291,left,1688,11:52:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1041,336,right,1438,16:02:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1045,293,right,265,15:35:00,Second Round
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,1020,341,right,303,14:57:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,54,568,left,1777,10:23:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,51,37,left,1324,17:56:00,NA
Hokies,FALSE,TRUE,fieldgoal,dunk,NA,2,91,294,left,1448,15:52:00,NA
Hokies,TRUE,TRUE,fieldgoal,jump shot,NA,3,972,39,right,59,19:01:00,NA
Hokies,FALSE,FALSE,fieldgoal,layup,NA,NA,78,363,left,1920,08:00:00,NA
Hokies,FALSE,TRUE,fieldgoal,layup,NA,2,125,264,left,1738,11:02:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,122,449,left,1627,12:53:00,NA
Hokies,FALSE,TRUE,fieldgoal,jump shot,NA,2,141,294,left,2236,02:44:00,NA
Hokies,TRUE,FALSE,fieldgoal,NA,NA,NA,171,104,left,1255,19:05:00,NA
Hokies,TRUE,FALSE,fieldgoal,jump shot,NA,NA,48,561,left,2164,03:56:00,NA
