team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,168,277,left,1650,12:30:00,Semifinals
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,206,245,left,2360,00:40:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1039,323,right,560,10:40:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,115,328,left,1305,18:15:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,turnaround,2,934,200,right,1651,12:29:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,68,317,left,1275,18:45:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,109,301,left,1787,10:13:00,Quarterfinal 1
Tar Heels,FALSE,TRUE,fieldgoal,jump shot,NA,2,141,327,left,1302,18:18:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,332,379,left,1354,17:26:00,NA
Tar Heels,TRUE,TRUE,fieldgoal,jump shot,NA,3,326,304,left,1530,14:30:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1050,170,right,635,09:25:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1035,383,right,634,09:26:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,99,430,left,2119,04:41:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,layup,NA,NA,1024,259,right,641,09:19:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,NA,NA,2,1042,338,right,1094,01:46:00,NA
Tar Heels,FALSE,FALSE,fieldgoal,jump shot,NA,NA,156,290,left,2038,06:02:00,Second Round
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,96,246,left,805,06:35:00,Third Round
Tar Heels,FALSE,FALSE,fieldgoal,NA,NA,NA,990,366,right,1057,02:23:00,NA
Tar Heels,TRUE,FALSE,fieldgoal,jump shot,NA,NA,58,548,left,1990,06:50:00,NA
Tar Heels,FALSE,TRUE,fieldgoal,layup,NA,2,1016,303,right,150,17:30:00,NA
