team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,879,417,right,1639,12:41:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,986,310,right,2077,05:23:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,116,301,left,2176,03:44:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1037,33,right,412,13:08:00,First Round
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,60,344,left,1819,09:41:00,Second Round
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,pullup,2,247,290,left,695,08:25:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,323,167,left,1721,11:19:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,339,279,left,199,16:41:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1028,324,right,1705,11:35:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,81,335,left,1902,08:18:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,77,288,left,1325,17:55:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,914,101,right,1226,19:34:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,1058,300,right,910,04:50:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,82,457,left,1480,15:20:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,910,349,right,1235,19:25:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,852,101,right,974,03:46:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,106,293,left,1214,19:46:00,First Round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1045,317,right,2306,01:34:00,Championship
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,167,370,left,695,08:25:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,801,322,right,1737,11:03:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1038,257,right,2137,04:23:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,147,295,left,1240,19:20:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,75,280,left,1335,17:45:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,163,323,left,1290,18:30:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1034,238,right,814,06:26:00,Elite Eight
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,1064,572,right,1492,15:08:00,Elite Eight
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,782,284,right,566,10:34:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,820,447,right,430,12:50:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,94,333,left,271,15:29:00,Second Round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,79,283,left,1419,16:21:00,Second Round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,954,288,right,734,07:46:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,82,286,left,1236,19:24:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,304,167,left,2290,01:50:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,1044,272,right,293,15:07:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,84,339,left,475,12:05:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,78,263,left,1324,17:56:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,driving,NA,962,370,right,1449,15:51:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1048,442,right,87,18:33:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,228,506,left,1966,07:14:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,319,362,left,2389,00:11:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,1014,219,right,452,12:28:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,74,317,left,1953,07:27:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,89,300,left,2131,04:29:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,149,132,left,529,11:11:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1037,15,right,314,14:46:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,65,32,left,1604,13:16:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,85,410,left,2327,01:13:00,Second Round
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,797,198,right,347,14:13:00,Semifinal 2
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,219,520,left,1258,19:02:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,1041,262,right,44,19:16:00,Quarterfinal 4
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,893,201,right,343,14:17:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,886,104,right,1938,07:42:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,jump shot,NA,2,1044,298,right,922,04:38:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,883,92,right,348,14:12:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,hook shot,turnaround,2,81,325,left,1316,18:04:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,342,400,left,1215,19:45:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,352,315,left,2071,05:29:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,89,41,left,1329,17:51:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,pullup,3,760,149,right,1145,00:55:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,851,94,right,69,18:51:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,818,168,right,739,07:41:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,98,320,left,1238,19:22:00,Second Round
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1041,341,right,1744,10:56:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,786,279,right,1484,15:16:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,74,288,left,1898,08:22:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,352,293,left,2309,01:31:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,1031,307,right,1651,12:29:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,72,321,left,2296,01:44:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,899,305,right,989,03:31:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,333,264,left,218,16:22:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,driving,NA,79,284,left,1155,00:45:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,95,332,left,1365,17:15:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,NA,NA,969,259,right,158,17:22:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,1037,248,right,854,05:46:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,88,281,left,622,09:38:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,NA,NA,2,993,338,right,1735,11:05:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,77,294,left,2365,00:35:00,First Round
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,800,123,right,1342,17:38:00,Sweet 16
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,271,458,left,673,08:47:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,870,492,right,338,14:22:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,277,490,left,1827,09:33:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,938,47,right,2054,05:46:00,Semifinal 1
Blue Devils,FALSE,FALSE,fieldgoal,jump shot,floating,NA,196,300,left,1582,13:38:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,putback,2,88,331,left,1452,15:48:00,First Round
Blue Devils,TRUE,TRUE,fieldgoal,jump shot,NA,3,267,82,left,1223,19:37:00,NA
Blue Devils,TRUE,TRUE,fieldgoal,NA,NA,3,323,153,left,1296,18:24:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,74,280,left,982,03:38:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,dunk,NA,2,1040,300,right,906,04:54:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,837,464,right,690,08:30:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,NA,NA,NA,61,34,left,28,19:32:00,NA
Blue Devils,FALSE,FALSE,fieldgoal,layup,NA,NA,77,328,left,2064,05:36:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,294,171,left,2000,06:40:00,NA
Blue Devils,FALSE,TRUE,fieldgoal,layup,NA,2,109,257,left,1630,12:50:00,NA
Blue Devils,TRUE,FALSE,fieldgoal,jump shot,NA,NA,274,488,left,946,04:14:00,Elite Eight
Blue Devils,FALSE,FALSE,fieldgoal,NA,NA,NA,1058,503,right,298,15:02:00,NA
