team_name,three_point_shot,shot_made,type,shot_type,shot_subtype,points_scored,event_coord_x,event_coord_y,team_basket,elapsed_time_sec,game_clock,round
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,789,279,right,2358,00:42:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,driving,NA,1016,321,right,1984,06:56:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,225,421,left,1527,14:33:00,NA
Seminoles,TRUE,FALSE,fieldgoal,NA,NA,NA,906,77,right,346,14:14:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,158,130,left,93,18:27:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,alley-oop,2,1041,267,right,1668,12:12:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,810,204,right,1105,01:35:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1066,272,right,977,03:43:00,Semifinal 2
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1047,355,right,1129,01:11:00,Second Round
Seminoles,FALSE,TRUE,fieldgoal,jump shot,pullup,2,903,392,right,1309,18:11:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,986,325,right,840,06:00:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,917,517,right,1782,10:18:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,1041,324,right,183,16:57:00,Second Round
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,120,264,left,2313,01:27:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,85,296,left,2089,05:11:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1016,281,right,1997,06:43:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,pullup,NA,112,263,left,286,15:14:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,863,84,right,364,13:56:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,804,383,right,148,17:32:00,Second Round
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,302,72,left,966,03:54:00,NA
Seminoles,FALSE,FALSE,fieldgoal,hook shot,NA,NA,1083,351,right,1260,19:00:00,Elite Eight
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1040,30,right,824,06:16:00,Sweet 16
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1041,278,right,2369,00:31:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,1042,284,right,1811,09:49:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1017,311,right,2255,02:25:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,271,490,left,888,05:12:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,98,280,left,516,11:24:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,130,252,left,727,07:53:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,815,473,right,618,09:42:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,98,305,left,646,09:14:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,144,339,left,152,17:28:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,158,204,left,1047,02:33:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,832,437,right,2168,03:52:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,808,92,right,1526,14:34:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,965,296,right,51,19:09:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,96,269,left,2383,00:17:00,Second Round
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1040,37,right,1953,07:27:00,NA
Seminoles,TRUE,TRUE,fieldgoal,jump shot,NA,3,206,536,left,1650,12:30:00,Second Round
Seminoles,TRUE,FALSE,fieldgoal,NA,NA,NA,1035,20,right,1857,09:03:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,195,290,left,882,05:18:00,NA
Seminoles,FALSE,TRUE,fieldgoal,dunk,NA,2,1004,332,right,1471,15:29:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,140,432,left,1361,17:19:00,Quarterfinal 3
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,81,294,left,894,05:06:00,NA
Seminoles,FALSE,FALSE,fieldgoal,tip shot,NA,NA,74,315,left,458,12:22:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,1019,287,right,930,04:30:00,NA
Seminoles,FALSE,TRUE,fieldgoal,jump shot,NA,2,927,375,right,917,04:43:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,277,67,left,995,03:25:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,249,352,left,123,17:57:00,NA
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,1037,562,right,1812,09:48:00,NA
Seminoles,FALSE,FALSE,fieldgoal,layup,NA,NA,1003,311,right,1316,18:04:00,NA
Seminoles,FALSE,FALSE,fieldgoal,jump shot,NA,NA,1002,298,right,1857,09:03:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,NA,2,1009,359,right,2075,05:25:00,NA
Seminoles,TRUE,FALSE,fieldgoal,NA,NA,NA,831,171,right,2356,00:44:00,NA
Seminoles,FALSE,TRUE,fieldgoal,NA,NA,2,84,300,left,332,14:28:00,NA
Seminoles,FALSE,FALSE,fieldgoal,NA,NA,NA,108,320,left,1790,10:10:00,NA
Seminoles,FALSE,TRUE,fieldgoal,layup,driving,2,1058,321,right,826,06:14:00,Second Round
Seminoles,TRUE,FALSE,fieldgoal,jump shot,NA,NA,782,311,right,773,07:07:00,Sweet 16
