home_name,away_name,event_coord_x,event_coord_y,shot_type,shot_subtype,three_point_shot,points_scored
Bears,Panthers,216.0,319.0,jump shot,,false,2.0
Bears,Panthers,268.0,114.0,jump shot,,true,3.0
Bears,Panthers,811.0,150.0,jump shot,,true,3.0
Bears,Panthers,158.0,299.0,jump shot,,false,2.0
Bears,Panthers,130.0,312.0,jump shot,,false,2.0
Bears,Panthers,1009.0,204.0,jump shot,,false,2.0
Bears,Panthers,85.0,320.0,layup,,false,2.0
Bears,Salukis,84.0,283.0,layup,,false,2.0
Bears,Salukis,51.0,291.0,layup,,false,2.0
Bears,Salukis,894.0,202.0,jump shot,,false,2.0
Bears,Salukis,92.0,281.0,layup,,false,2.0
Bears,Bulldogs,1065.0,562.0,jump shot,,true,3.0
Bears,Bulldogs,1050.0,313.0,dunk,,false,2.0
Bears,Bulldogs,1047.0,332.0,jump shot,,false,2.0
Bears,Bulldogs,95.0,271.0,jump shot,,false,2.0
Bears,Bulldogs,1009.0,296.0,jump shot,,false,2.0
Bears,Bulldogs,1054.0,311.0,layup,,false,2.0
Bears,Bulldogs,270.0,388.0,jump shot,,false,2.0
Bears,Bulldogs,261.0,435.0,jump shot,,false,2.0
Bears,Aggies,1041.0,322.0,jump shot,,false,2.0
Bears,Aggies,837.0,156.0,jump shot,,true,3.0
Bears,Aggies,72.0,281.0,dunk,,false,2.0
Bears,Aggies,920.0,417.0,jump shot,,false,2.0
Bears,Aggies,199.0,325.0,jump shot,,false,2.0
Bears,Redhawks,103.0,284.0,layup,,false,2.0
Bears,Redhawks,115.0,303.0,layup,,false,2.0
Bears,Redhawks,127.0,281.0,jump shot,,false,2.0
Bears,Redhawks,180.0,346.0,jump shot,,false,2.0
Bears,Redhawks,127.0,324.0,jump shot,,false,2.0
Bears,Redhawks,1000.0,260.0,jump shot,,false,2.0
Bears,Redhawks,1000.0,256.0,jump shot,,false,2.0
Bears,Redhawks,112.0,310.0,jump shot,,false,2.0
Bears,Redhawks,1009.0,297.0,jump shot,,false,2.0
Bears,Redhawks,972.0,280.0,jump shot,,false,2.0
Bears,Redhawks,122.0,280.0,layup,,false,2.0
Bears,Redbirds,70.0,298.0,dunk,,false,2.0
Bears,Redbirds,1058.0,318.0,layup,,false,2.0
Bears,Redbirds,1000.0,293.0,jump shot,,false,2.0
Bears,Redbirds,894.0,185.0,jump shot,,false,2.0
Bears,Redbirds,74.0,312.0,layup,,false,2.0
Bears,Redbirds,219.0,222.0,jump shot,,false,2.0
Bears,Redbirds,799.0,161.0,jump shot,,true,3.0
Bears,Redbirds,72.0,300.0,layup,,false,2.0
Bears,Sycamores,88.0,274.0,jump shot,,false,2.0
Bears,Sycamores,983.0,269.0,jump shot,,false,2.0
Bears,Sycamores,119.0,269.0,jump shot,,false,2.0
Bears,Sycamores,239.0,280.0,jump shot,,false,2.0
Bears,Sycamores,330.0,362.0,jump shot,,true,3.0
Bears,Sycamores,178.0,311.0,jump shot,,false,2.0
Bears,Sycamores,1045.0,300.0,dunk,,false,2.0
Bears,Sycamores,175.0,60.0,jump shot,,true,3.0
Bears,Sycamores,85.0,269.0,layup,,false,2.0
